Timestamp,RPM,TPS_percent,IAT_C,MAP_kPa,PulseWidth_ms,AnalogIn1_V,AnalogIn2_V,AnalogIn3_V,AnalogIn4_V,VSS_kmh,Baro_kPa,OilTemp_C,OilPressure_bar,FuelPressure_bar,CLT_C,IgnAngle_deg,DwellTime_ms,WBO_Lambda,LambdaCorrection_percent,EGT1_C,EGT2_C,Gear,EmuTemp_C,Batt_V,CEL_Error,Flags1,Ethanol_percent,DBW_Pos_percent,DBW_Target_percent,TC_drpm_raw,TC_drpm,TC_TorqueReduction_percent,PitLimit_TorqueReduction_percent,AnalogIn5_V,AnalogIn6_V,OutFlags1,OutFlags2,OutFlags3,OutFlags4,BoostTarget_kPa,PWM1_DC_percent,DSG_Mode,LambdaTarget,PWM2_DC_percent,FuelUsed_L
2025-07-25 01:57:24.015,9000,15.0,80,600,45.355,7.998,8.999,0.0,0.996,80,100,100,2.5,2.5,120,15.0,8.0,1.094,115.0,800,800,5,70,13.5,8,4,20,2.5,2.5,400,400,50,50,7.998,8.999,4,5,6,7,500,80,7,0.8,80,4.0
2025-07-25 01:57:25.051,0,20.0,100,0,0.0,8.999,0.0,0.996,1.997,90,110,120,3.0,3.0,130,30.0,9.0,1.195,120.0,1000,1000,6,80,13.986,9,5,30,3.0,3.0,500,500,60,60,8.999,0.0,5,6,7,0,600,90,15,0.9,90,5.0
2025-07-25 01:57:25.318,1000,25.0,120,100,5.032,0.0,0.996,1.997,2.998,0,120,140,0.0,0.0,-40,-30.0,0.0,0.594,75.0,1200,1200,7,90,10.989,0,6,40,3.5,3.5,600,600,70,70,0.0,0.996,6,7,0,1,0,0,2,0.0,0,6.0
2025-07-25 01:57:25.969,2000,30.0,-40,200,10.081,0.996,1.997,2.998,3.999,10,130,160,0.5,0.5,-20,-15.0,1.0,0.695,80.0,1400,1400,8,100,11.475,1,7,50,4.0,4.0,700,700,80,80,0.996,1.997,7,0,1,2,100,10,3,0.1,10,7.0
2025-07-25 01:57:26.620,3000,35.0,-20,300,15.113,1.997,2.998,3.999,5.0,20,50,0,1.0,1.0,0,0.0,2.0,0.797,85.0,0,0,0,20,11.988,2,0,60,0.0,0.0,0,0,0,0,1.997,2.998,0,1,2,3,200,20,4,0.2,20,0.0
2025-07-25 01:57:27.272,4000,40.0,0,400,20.161,2.998,3.999,5.0,5.996,30,60,20,1.5,1.5,20,15.0,3.0,0.898,90.0,200,200,1,30,12.474,3,1,70,0.5,0.5,100,100,10,10,2.998,3.999,1,2,3,4,300,30,5,0.3,30,1.0
2025-07-25 01:57:27.923,5000,45.0,20,500,25.193,3.999,5.0,5.996,6.997,40,70,40,2.0,2.0,40,30.0,4.0,1.0,95.0,400,400,2,40,12.987,4,2,80,1.0,1.0,200,200,20,20,3.999,5.0,2,3,4,5,400,40,6,0.4,40,2.0
2025-07-25 01:57:28.575,6000,50.0,40,600,30.242,5.0,5.996,6.997,7.998,50,80,60,2.5,2.5,60,-30.0,5.0,1.094,100.0,600,600,3,50,13.5,5,3,90,1.5,1.5,300,300,30,30,5.0,5.996,3,4,5,6,500,50,7,0.5,50,3.0
2025-07-25 01:57:29.226,7000,0.0,60,0,35.274,5.996,6.997,7.998,8.999,60,90,80,3.0,3.0,80,-15.0,6.0,1.195,105.0,800,800,4,60,13.986,6,4,100,2.0,2.0,400,400,40,40,5.996,6.997,4,5,6,7,600,60,15,0.6,60,4.0
2025-07-25 01:57:29.878,8000,5.0,80,100,40.323,6.997,7.998,8.999,0.0,70,100,100,0.0,0.0,100,0.0,7.0,0.594,110.0,1000,1000,5,70,10.989,7,5,0,2.5,2.5,500,500,50,50,6.997,7.998,5,6,7,0,0,70,2,0.7,70,5.0
2025-07-25 01:57:30.529,9000,10.0,100,200,45.355,7.998,8.999,0.0,0.996,80,110,120,0.5,0.5,120,15.0,8.0,0.695,115.0,1200,1200,6,80,11.475,8,6,10,3.0,3.0,600,600,60,60,7.998,8.999,6,7,0,1,100,80,3,0.8,80,6.0
2025-07-25 01:57:31.180,0,15.0,120,300,0.0,8.999,0.0,0.996,1.997,90,120,140,1.0,1.0,130,30.0,9.0,0.797,120.0,1400,1400,7,90,11.988,9,7,20,3.5,3.5,700,700,70,70,8.999,0.0,7,0,1,2,200,90,4,0.9,90,7.0
